Consumed: Hi 7 @ 1589752425754 Partition: 0, Offset: 1120, By ThreadID: 12
Consumed: Hi 187 @ 1589752427651 Partition: 0, Offset: 1133, By ThreadID: 12
Consumed: Hi 140 @ 1589752427167 Partition: 1, Offset: 1066, By ThreadID: 13
Consumed: Hi 154 @ 1589752427312 Partition: 3, Offset: 1110, By ThreadID: 15
Consumed: Hi 150 @ 1589752427270 Partition: 1, Offset: 1067, By ThreadID: 13
Consumed: Hi 227 @ 1589752428066 Partition: 0, Offset: 1134, By ThreadID: 12
Consumed: Hi 90 @ 1589752426638 Partition: 2, Offset: 1080, By ThreadID: 14
Consumed: Hi 157 @ 1589752427343 Partition: 1, Offset: 1068, By ThreadID: 13
Consumed: Hi 93 @ 1589752426670 Partition: 2, Offset: 1081, By ThreadID: 14
Consumed: Hi 165 @ 1589752427425 Partition: 3, Offset: 1111, By ThreadID: 15
Consumed: Hi 233 @ 1589752428128 Partition: 0, Offset: 1135, By ThreadID: 12
Consumed: Hi 179 @ 1589752427569 Partition: 1, Offset: 1069, By ThreadID: 13
Consumed: Hi 111 @ 1589752426861 Partition: 2, Offset: 1082, By ThreadID: 14
Consumed: Hi 135 @ 1589752427114 Partition: 2, Offset: 1083, By ThreadID: 14
Consumed: Hi 163 @ 1589752427405 Partition: 2, Offset: 1084, By ThreadID: 14
Consumed: Hi 210 @ 1589752427889 Partition: 2, Offset: 1085, By ThreadID: 14
Consumed: Hi 177 @ 1589752427548 Partition: 3, Offset: 1112, By ThreadID: 15
Consumed: Hi 237 @ 1589752428169 Partition: 0, Offset: 1136, By ThreadID: 12
Consumed: Hi 182 @ 1589752427600 Partition: 3, Offset: 1113, By ThreadID: 15
Consumed: Hi 213 @ 1589752427920 Partition: 1, Offset: 1070, By ThreadID: 13
Consumed: Hi 232 @ 1589752428118 Partition: 1, Offset: 1071, By ThreadID: 13
Consumed: Hi 262 @ 1589752428427 Partition: 0, Offset: 1137, By ThreadID: 12
Consumed: Hi 194 @ 1589752427723 Partition: 3, Offset: 1114, By ThreadID: 15
Consumed: Hi 196 @ 1589752427744 Partition: 3, Offset: 1115, By ThreadID: 15
Consumed: Hi 215 @ 1589752427940 Partition: 2, Offset: 1086, By ThreadID: 14
Consumed: Hi 269 @ 1589752428500 Partition: 1, Offset: 1072, By ThreadID: 13
Consumed: Hi 288 @ 1589752428697 Partition: 1, Offset: 1073, By ThreadID: 13
Consumed: Hi 226 @ 1589752428056 Partition: 2, Offset: 1087, By ThreadID: 14
Consumed: Hi 221 @ 1589752428004 Partition: 3, Offset: 1116, By ThreadID: 15
Consumed: Hi 303 @ 1589752428853 Partition: 1, Offset: 1074, By ThreadID: 13
Consumed: Hi 275 @ 1589752428562 Partition: 0, Offset: 1138, By ThreadID: 12
Consumed: Hi 229 @ 1589752428087 Partition: 2, Offset: 1088, By ThreadID: 14
Consumed: Hi 224 @ 1589752428035 Partition: 3, Offset: 1117, By ThreadID: 15
Consumed: Hi 310 @ 1589752428927 Partition: 1, Offset: 1075, By ThreadID: 13
Consumed: Hi 236 @ 1589752428159 Partition: 3, Offset: 1118, By ThreadID: 15
Consumed: Hi 279 @ 1589752428604 Partition: 0, Offset: 1139, By ThreadID: 12
Consumed: Hi 252 @ 1589752428325 Partition: 2, Offset: 1089, By ThreadID: 14
Consumed: Hi 324 @ 1589752429072 Partition: 1, Offset: 1076, By ThreadID: 13
Consumed: Hi 249 @ 1589752428294 Partition: 3, Offset: 1119, By ThreadID: 15
Consumed: Hi 308 @ 1589752428906 Partition: 0, Offset: 1140, By ThreadID: 12
Consumed: Hi 333 @ 1589752429166 Partition: 1, Offset: 1077, By ThreadID: 13
Consumed: Hi 266 @ 1589752428469 Partition: 3, Offset: 1120, By ThreadID: 15
Consumed: Hi 258 @ 1589752428387 Partition: 2, Offset: 1090, By ThreadID: 14
Consumed: Hi 271 @ 1589752428521 Partition: 2, Offset: 1091, By ThreadID: 14
Consumed: Hi 337 @ 1589752429207 Partition: 1, Offset: 1078, By ThreadID: 13
Consumed: Hi 277 @ 1589752428583 Partition: 3, Offset: 1121, By ThreadID: 15
Consumed: Hi 286 @ 1589752428676 Partition: 3, Offset: 1122, By ThreadID: 15
Consumed: Hi 291 @ 1589752428728 Partition: 3, Offset: 1123, By ThreadID: 15
Consumed: Hi 321 @ 1589752429041 Partition: 0, Offset: 1141, By ThreadID: 12
Consumed: Hi 340 @ 1589752429238 Partition: 1, Offset: 1079, By ThreadID: 13
Consumed: Hi 296 @ 1589752428780 Partition: 3, Offset: 1124, By ThreadID: 15
Consumed: Hi 299 @ 1589752428811 Partition: 3, Offset: 1125, By ThreadID: 15
Consumed: Hi 327 @ 1589752429104 Partition: 0, Offset: 1142, By ThreadID: 12
Consumed: Hi 374 @ 1589752429591 Partition: 1, Offset: 1080, By ThreadID: 13
Consumed: Hi 332 @ 1589752429155 Partition: 0, Offset: 1143, By ThreadID: 12
Consumed: Hi 312 @ 1589752428948 Partition: 3, Offset: 1126, By ThreadID: 15
Consumed: Hi 349 @ 1589752429330 Partition: 0, Offset: 1144, By ThreadID: 12
Consumed: Hi 317 @ 1589752428999 Partition: 3, Offset: 1127, By ThreadID: 15
Consumed: Hi 282 @ 1589752428635 Partition: 2, Offset: 1092, By ThreadID: 14
Consumed: Hi 298 @ 1589752428801 Partition: 2, Offset: 1093, By ThreadID: 14
Consumed: Hi 361 @ 1589752429456 Partition: 0, Offset: 1145, By ThreadID: 12
Consumed: Hi 323 @ 1589752429062 Partition: 3, Offset: 1128, By ThreadID: 15
Consumed: Hi 302 @ 1589752428843 Partition: 2, Offset: 1094, By ThreadID: 14
Consumed: Hi 376 @ 1589752429612 Partition: 1, Offset: 1081, By ThreadID: 13
Consumed: Hi 364 @ 1589752429487 Partition: 0, Offset: 1146, By ThreadID: 12
Consumed: Hi 311 @ 1589752428937 Partition: 2, Offset: 1095, By ThreadID: 14
Consumed: Hi 325 @ 1589752429083 Partition: 3, Offset: 1129, By ThreadID: 15
Consumed: Hi 328 @ 1589752429114 Partition: 3, Offset: 1130, By ThreadID: 15
Consumed: Hi 394 @ 1589752429802 Partition: 1, Offset: 1082, By ThreadID: 13
Consumed: Hi 404 @ 1589752429906 Partition: 1, Offset: 1083, By ThreadID: 13
Consumed: Hi 341 @ 1589752429248 Partition: 3, Offset: 1131, By ThreadID: 15
Consumed: Hi 345 @ 1589752429289 Partition: 2, Offset: 1096, By ThreadID: 14
Consumed: Hi 415 @ 1589752430020 Partition: 1, Offset: 1084, By ThreadID: 13
Consumed: Hi 348 @ 1589752429320 Partition: 3, Offset: 1132, By ThreadID: 15
Consumed: Hi 387 @ 1589752429730 Partition: 0, Offset: 1147, By ThreadID: 12
Consumed: Hi 438 @ 1589752430259 Partition: 1, Offset: 1085, By ThreadID: 13
Consumed: Hi 358 @ 1589752429424 Partition: 3, Offset: 1133, By ThreadID: 15
Consumed: Hi 355 @ 1589752429393 Partition: 2, Offset: 1097, By ThreadID: 14
Consumed: Hi 452 @ 1589752430406 Partition: 1, Offset: 1086, By ThreadID: 13
Consumed: Hi 373 @ 1589752429581 Partition: 3, Offset: 1134, By ThreadID: 15
Consumed: Hi 389 @ 1589752429750 Partition: 0, Offset: 1148, By ThreadID: 12
Consumed: Hi 378 @ 1589752429633 Partition: 3, Offset: 1135, By ThreadID: 15
Consumed: Hi 458 @ 1589752430468 Partition: 1, Offset: 1087, By ThreadID: 13
Consumed: Hi 357 @ 1589752429414 Partition: 2, Offset: 1098, By ThreadID: 14
Consumed: Hi 365 @ 1589752429497 Partition: 2, Offset: 1099, By ThreadID: 14
Consumed: Hi 396 @ 1589752429823 Partition: 0, Offset: 1149, By ThreadID: 12
Consumed: Hi 402 @ 1589752429886 Partition: 0, Offset: 1150, By ThreadID: 12
Consumed: Hi 461 @ 1589752430500 Partition: 1, Offset: 1088, By ThreadID: 13
Consumed: Hi 406 @ 1589752429927 Partition: 3, Offset: 1136, By ThreadID: 15
Consumed: Hi 410 @ 1589752429968 Partition: 0, Offset: 1151, By ThreadID: 12
Consumed: Hi 476 @ 1589752430655 Partition: 1, Offset: 1089, By ThreadID: 13
Consumed: Hi 368 @ 1589752429528 Partition: 2, Offset: 1100, By ThreadID: 14
Consumed: Hi 427 @ 1589752430145 Partition: 3, Offset: 1137, By ThreadID: 15
Consumed: Hi 381 @ 1589752429664 Partition: 2, Offset: 1101, By ThreadID: 14
Consumed: Hi 418 @ 1589752430051 Partition: 0, Offset: 1152, By ThreadID: 12
Consumed: Hi 480 @ 1589752430697 Partition: 1, Offset: 1090, By ThreadID: 13
Consumed: Hi 422 @ 1589752430093 Partition: 0, Offset: 1153, By ThreadID: 12
Consumed: Hi 425 @ 1589752430124 Partition: 0, Offset: 1154, By ThreadID: 12
Consumed: Hi 511 @ 1589752431023 Partition: 1, Offset: 1091, By ThreadID: 13
Consumed: Hi 531 @ 1589752431230 Partition: 1, Offset: 1092, By ThreadID: 13
Consumed: Hi 430 @ 1589752430176 Partition: 3, Offset: 1138, By ThreadID: 15
Consumed: Hi 429 @ 1589752430166 Partition: 0, Offset: 1155, By ThreadID: 12
Consumed: Hi 443 @ 1589752430312 Partition: 0, Offset: 1156, By ThreadID: 12
Consumed: Hi 540 @ 1589752431324 Partition: 1, Offset: 1093, By ThreadID: 13
Consumed: Hi 449 @ 1589752430374 Partition: 0, Offset: 1157, By ThreadID: 12
Consumed: Hi 395 @ 1589752429813 Partition: 2, Offset: 1102, By ThreadID: 14
Consumed: Hi 542 @ 1589752431344 Partition: 1, Offset: 1094, By ThreadID: 13
Consumed: Hi 435 @ 1589752430228 Partition: 3, Offset: 1139, By ThreadID: 15
Consumed: Hi 450 @ 1589752430385 Partition: 3, Offset: 1140, By ThreadID: 15
Consumed: Hi 548 @ 1589752431405 Partition: 1, Offset: 1095, By ThreadID: 13
Consumed: Hi 460 @ 1589752430489 Partition: 0, Offset: 1158, By ThreadID: 12
Consumed: Hi 554 @ 1589752431467 Partition: 1, Offset: 1096, By ThreadID: 13
Consumed: Hi 477 @ 1589752430666 Partition: 0, Offset: 1159, By ThreadID: 12
Consumed: Hi 474 @ 1589752430634 Partition: 3, Offset: 1141, By ThreadID: 15
Consumed: Hi 495 @ 1589752430853 Partition: 0, Offset: 1160, By ThreadID: 12
Consumed: Hi 501 @ 1589752430914 Partition: 0, Offset: 1161, By ThreadID: 12
Consumed: Hi 398 @ 1589752429844 Partition: 2, Offset: 1103, By ThreadID: 14
Consumed: Hi 478 @ 1589752430676 Partition: 3, Offset: 1142, By ThreadID: 15
Consumed: Hi 482 @ 1589752430717 Partition: 3, Offset: 1143, By ThreadID: 15
Consumed: Hi 491 @ 1589752430811 Partition: 3, Offset: 1144, By ThreadID: 15
Consumed: Hi 504 @ 1589752430946 Partition: 0, Offset: 1162, By ThreadID: 12
Consumed: Hi 558 @ 1589752431508 Partition: 1, Offset: 1097, By ThreadID: 13
Consumed: Hi 567 @ 1589752431602 Partition: 1, Offset: 1098, By ThreadID: 13
Consumed: Hi 527 @ 1589752431189 Partition: 3, Offset: 1145, By ThreadID: 15
Consumed: Hi 405 @ 1589752429916 Partition: 2, Offset: 1104, By ThreadID: 14
Consumed: Hi 508 @ 1589752430988 Partition: 0, Offset: 1163, By ThreadID: 12
Consumed: Hi 580 @ 1589752431736 Partition: 1, Offset: 1099, By ThreadID: 13
Consumed: Hi 529 @ 1589752431210 Partition: 3, Offset: 1146, By ThreadID: 15
Consumed: Hi 587 @ 1589752431809 Partition: 1, Offset: 1100, By ThreadID: 13
Consumed: Hi 463 @ 1589752430521 Partition: 2, Offset: 1105, By ThreadID: 14
Consumed: Hi 510 @ 1589752431008 Partition: 0, Offset: 1164, By ThreadID: 12
Consumed: Hi 592 @ 1589752431861 Partition: 1, Offset: 1101, By ThreadID: 13
Consumed: Hi 594 @ 1589752431882 Partition: 1, Offset: 1102, By ThreadID: 13
Consumed: Hi 541 @ 1589752431334 Partition: 0, Offset: 1165, By ThreadID: 12
Consumed: Hi 553 @ 1589752431456 Partition: 0, Offset: 1166, By ThreadID: 12
Consumed: Hi 560 @ 1589752431529 Partition: 0, Offset: 1167, By ThreadID: 12
Consumed: Hi 465 @ 1589752430542 Partition: 2, Offset: 1106, By ThreadID: 14
Consumed: Hi 536 @ 1589752431282 Partition: 3, Offset: 1147, By ThreadID: 15
Consumed: Hi 583 @ 1589752431767 Partition: 0, Offset: 1168, By ThreadID: 12
Consumed: Hi 469 @ 1589752430583 Partition: 2, Offset: 1107, By ThreadID: 14
Consumed: Hi 556 @ 1589752431487 Partition: 3, Offset: 1148, By ThreadID: 15
Consumed: Hi 595 @ 1589752431892 Partition: 0, Offset: 1169, By ThreadID: 12
Consumed: Hi 569 @ 1589752431622 Partition: 3, Offset: 1149, By ThreadID: 15
Consumed: Hi 483 @ 1589752430728 Partition: 2, Offset: 1108, By ThreadID: 14
Consumed: Hi 571 @ 1589752431643 Partition: 3, Offset: 1150, By ThreadID: 15
Consumed: Hi 611 @ 1589752432059 Partition: 0, Offset: 1170, By ThreadID: 12
Consumed: Hi 623 @ 1589752432184 Partition: 0, Offset: 1171, By ThreadID: 12
Consumed: Hi 641 @ 1589752432368 Partition: 0, Offset: 1172, By ThreadID: 12
Consumed: Hi 488 @ 1589752430780 Partition: 2, Offset: 1109, By ThreadID: 14
Consumed: Hi 576 @ 1589752431695 Partition: 3, Offset: 1151, By ThreadID: 15
Consumed: Hi 526 @ 1589752431178 Partition: 2, Offset: 1110, By ThreadID: 14
Consumed: Hi 643 @ 1589752432388 Partition: 0, Offset: 1173, By ThreadID: 12
Consumed: Hi 600 @ 1589752431944 Partition: 1, Offset: 1103, By ThreadID: 13
Consumed: Hi 530 @ 1589752431220 Partition: 2, Offset: 1111, By ThreadID: 14
Consumed: Hi 615 @ 1589752432101 Partition: 1, Offset: 1104, By ThreadID: 13
Consumed: Hi 606 @ 1589752432007 Partition: 3, Offset: 1152, By ThreadID: 15
Consumed: Hi 619 @ 1589752432143 Partition: 1, Offset: 1105, By ThreadID: 13
Consumed: Hi 645 @ 1589752432408 Partition: 0, Offset: 1174, By ThreadID: 12
Consumed: Hi 582 @ 1589752431757 Partition: 2, Offset: 1112, By ThreadID: 14
Consumed: Hi 624 @ 1589752432194 Partition: 1, Offset: 1106, By ThreadID: 13
Consumed: Hi 661 @ 1589752432571 Partition: 0, Offset: 1175, By ThreadID: 12
Consumed: Hi 617 @ 1589752432122 Partition: 3, Offset: 1153, By ThreadID: 15
Consumed: Hi 626 @ 1589752432215 Partition: 1, Offset: 1107, By ThreadID: 13
Consumed: Hi 628 @ 1589752432235 Partition: 1, Offset: 1108, By ThreadID: 13
Consumed: Hi 607 @ 1589752432017 Partition: 2, Offset: 1113, By ThreadID: 14
Consumed: Hi 669 @ 1589752432653 Partition: 0, Offset: 1176, By ThreadID: 12
Consumed: Hi 671 @ 1589752432673 Partition: 0, Offset: 1177, By ThreadID: 12
Consumed: Hi 634 @ 1589752432296 Partition: 1, Offset: 1109, By ThreadID: 13
Consumed: Hi 609 @ 1589752432038 Partition: 2, Offset: 1114, By ThreadID: 14
Consumed: Hi 625 @ 1589752432205 Partition: 3, Offset: 1154, By ThreadID: 15
Consumed: Hi 648 @ 1589752432439 Partition: 1, Offset: 1110, By ThreadID: 13
Consumed: Hi 612 @ 1589752432070 Partition: 2, Offset: 1115, By ThreadID: 14
Consumed: Hi 681 @ 1589752432776 Partition: 0, Offset: 1178, By ThreadID: 12
Consumed: Hi 638 @ 1589752432337 Partition: 3, Offset: 1155, By ThreadID: 15
Consumed: Hi 614 @ 1589752432091 Partition: 2, Offset: 1116, By ThreadID: 14
Consumed: Hi 698 @ 1589752432953 Partition: 0, Offset: 1179, By ThreadID: 12
Consumed: Hi 658 @ 1589752432541 Partition: 1, Offset: 1111, By ThreadID: 13
Consumed: Hi 640 @ 1589752432357 Partition: 3, Offset: 1156, By ThreadID: 15
Consumed: Hi 618 @ 1589752432132 Partition: 2, Offset: 1117, By ThreadID: 14
Consumed: Hi 650 @ 1589752432459 Partition: 3, Offset: 1157, By ThreadID: 15
Consumed: Hi 708 @ 1589752433057 Partition: 0, Offset: 1180, By ThreadID: 12
Consumed: Hi 666 @ 1589752432622 Partition: 1, Offset: 1112, By ThreadID: 13
Consumed: Hi 684 @ 1589752432808 Partition: 3, Offset: 1158, By ThreadID: 15
Consumed: Hi 685 @ 1589752432818 Partition: 1, Offset: 1113, By ThreadID: 13
Consumed: Hi 713 @ 1589752433109 Partition: 0, Offset: 1181, By ThreadID: 12
Consumed: Hi 622 @ 1589752432174 Partition: 2, Offset: 1118, By ThreadID: 14
Consumed: Hi 646 @ 1589752432418 Partition: 2, Offset: 1119, By ThreadID: 14
Consumed: Hi 715 @ 1589752433129 Partition: 0, Offset: 1182, By ThreadID: 12
Consumed: Hi 696 @ 1589752432933 Partition: 1, Offset: 1114, By ThreadID: 13
Consumed: Hi 656 @ 1589752432520 Partition: 2, Offset: 1120, By ThreadID: 14
Consumed: Hi 692 @ 1589752432891 Partition: 3, Offset: 1159, By ThreadID: 15
Consumed: Hi 694 @ 1589752432912 Partition: 3, Offset: 1160, By ThreadID: 15
Consumed: Hi 701 @ 1589752432984 Partition: 1, Offset: 1115, By ThreadID: 13
Consumed: Hi 720 @ 1589752433180 Partition: 1, Offset: 1116, By ThreadID: 13
Consumed: Hi 716 @ 1589752433140 Partition: 3, Offset: 1161, By ThreadID: 15
Consumed: Hi 675 @ 1589752432714 Partition: 2, Offset: 1121, By ThreadID: 14
Consumed: Hi 735 @ 1589752433334 Partition: 0, Offset: 1183, By ThreadID: 12
Consumed: Hi 727 @ 1589752433252 Partition: 1, Offset: 1117, By ThreadID: 13
Consumed: Hi 718 @ 1589752433160 Partition: 3, Offset: 1162, By ThreadID: 15
Consumed: Hi 749 @ 1589752433478 Partition: 1, Offset: 1118, By ThreadID: 13
Consumed: Hi 773 @ 1589752433727 Partition: 0, Offset: 1184, By ThreadID: 12
Consumed: Hi 753 @ 1589752433519 Partition: 1, Offset: 1119, By ThreadID: 13
Consumed: Hi 763 @ 1589752433623 Partition: 1, Offset: 1120, By ThreadID: 13
Consumed: Hi 699 @ 1589752432964 Partition: 2, Offset: 1122, By ThreadID: 14
Consumed: Hi 799 @ 1589752433994 Partition: 1, Offset: 1121, By ThreadID: 13
Consumed: Hi 814 @ 1589752434148 Partition: 1, Offset: 1122, By ThreadID: 13
Consumed: Hi 732 @ 1589752433303 Partition: 3, Offset: 1163, By ThreadID: 15
Consumed: Hi 702 @ 1589752432994 Partition: 2, Offset: 1123, By ThreadID: 14
Consumed: Hi 756 @ 1589752433551 Partition: 3, Offset: 1164, By ThreadID: 15
Consumed: Hi 837 @ 1589752434385 Partition: 1, Offset: 1123, By ThreadID: 13
Consumed: Hi 781 @ 1589752433809 Partition: 0, Offset: 1185, By ThreadID: 12
Consumed: Hi 784 @ 1589752433840 Partition: 3, Offset: 1165, By ThreadID: 15
Consumed: Hi 843 @ 1589752434447 Partition: 1, Offset: 1124, By ThreadID: 13
Consumed: Hi 717 @ 1589752433150 Partition: 2, Offset: 1124, By ThreadID: 14
Consumed: Hi 791 @ 1589752433912 Partition: 0, Offset: 1186, By ThreadID: 12
Consumed: Hi 856 @ 1589752434580 Partition: 1, Offset: 1125, By ThreadID: 13
Consumed: Hi 797 @ 1589752433974 Partition: 0, Offset: 1187, By ThreadID: 12
Consumed: Hi 722 @ 1589752433201 Partition: 2, Offset: 1125, By ThreadID: 14
Consumed: Hi 788 @ 1589752433881 Partition: 3, Offset: 1166, By ThreadID: 15
Consumed: Hi 726 @ 1589752433242 Partition: 2, Offset: 1126, By ThreadID: 14
Consumed: Hi 866 @ 1589752434684 Partition: 1, Offset: 1126, By ThreadID: 13
Consumed: Hi 801 @ 1589752434015 Partition: 0, Offset: 1188, By ThreadID: 12
Consumed: Hi 800 @ 1589752434004 Partition: 3, Offset: 1167, By ThreadID: 15
Consumed: Hi 733 @ 1589752433313 Partition: 2, Offset: 1127, By ThreadID: 14
Consumed: Hi 888 @ 1589752434910 Partition: 1, Offset: 1127, By ThreadID: 13
Consumed: Hi 804 @ 1589752434045 Partition: 3, Offset: 1168, By ThreadID: 15
Consumed: Hi 803 @ 1589752434035 Partition: 0, Offset: 1189, By ThreadID: 12
Consumed: Hi 808 @ 1589752434087 Partition: 0, Offset: 1190, By ThreadID: 12
Consumed: Hi 815 @ 1589752434159 Partition: 3, Offset: 1169, By ThreadID: 15
Consumed: Hi 738 @ 1589752433365 Partition: 2, Offset: 1128, By ThreadID: 14
Consumed: Hi 895 @ 1589752434983 Partition: 1, Offset: 1128, By ThreadID: 13
Consumed: Hi 746 @ 1589752433448 Partition: 2, Offset: 1129, By ThreadID: 14
Consumed: Hi 900 @ 1589752435034 Partition: 1, Offset: 1129, By ThreadID: 13
Consumed: Hi 748 @ 1589752433468 Partition: 2, Offset: 1130, By ThreadID: 14
Consumed: Hi 825 @ 1589752434261 Partition: 3, Offset: 1170, By ThreadID: 15
Consumed: Hi 836 @ 1589752434375 Partition: 0, Offset: 1191, By ThreadID: 12
Consumed: Hi 838 @ 1589752434395 Partition: 0, Offset: 1192, By ThreadID: 12
Consumed: Hi 760 @ 1589752433592 Partition: 2, Offset: 1131, By ThreadID: 14
Consumed: Hi 927 @ 1589752435312 Partition: 1, Offset: 1130, By ThreadID: 13
Consumed: Hi 839 @ 1589752434406 Partition: 3, Offset: 1171, By ThreadID: 15
Consumed: Hi 768 @ 1589752433675 Partition: 2, Offset: 1132, By ThreadID: 14
Consumed: Hi 848 @ 1589752434498 Partition: 3, Offset: 1172, By ThreadID: 15
Consumed: Hi 954 @ 1589752435592 Partition: 1, Offset: 1131, By ThreadID: 13
Consumed: Hi 957 @ 1589752435623 Partition: 1, Offset: 1132, By ThreadID: 13
Consumed: Hi 859 @ 1589752434611 Partition: 3, Offset: 1173, By ThreadID: 15
Consumed: Hi 771 @ 1589752433706 Partition: 2, Offset: 1133, By ThreadID: 14
Consumed: Hi 777 @ 1589752433768 Partition: 2, Offset: 1134, By ThreadID: 14
Consumed: Hi 961 @ 1589752435663 Partition: 1, Offset: 1133, By ThreadID: 13
Consumed: Hi 780 @ 1589752433799 Partition: 2, Offset: 1135, By ThreadID: 14
Consumed: Hi 845 @ 1589752434467 Partition: 0, Offset: 1193, By ThreadID: 12
Consumed: Hi 985 @ 1589752435907 Partition: 1, Offset: 1134, By ThreadID: 13
Consumed: Hi 792 @ 1589752433922 Partition: 2, Offset: 1136, By ThreadID: 14
Consumed: Hi 871 @ 1589752434736 Partition: 3, Offset: 1174, By ThreadID: 15
Consumed: Hi 847 @ 1589752434488 Partition: 0, Offset: 1194, By ThreadID: 12
Consumed: Hi 858 @ 1589752434601 Partition: 0, Offset: 1195, By ThreadID: 12
Consumed: Hi 884 @ 1589752434869 Partition: 3, Offset: 1175, By ThreadID: 15
Consumed: Hi 865 @ 1589752434673 Partition: 0, Offset: 1196, By ThreadID: 12
Consumed: Hi 905 @ 1589752435086 Partition: 3, Offset: 1176, By ThreadID: 15
Consumed: Hi 913 @ 1589752435168 Partition: 3, Offset: 1177, By ThreadID: 15
